date, pm25, pm10, o3, so2, co
2019/12/2, 19, , , , 
2019/12/3, 36, , , , 
2019/12/4, 41, , , , 
2019/12/5, 28, , , , 
2019/12/6, 30, , , , 
2019/12/7, 35, , , , 
2019/12/8, 55, , , , 
2019/12/9, 33, , , , 
2019/12/10, 27, , , , 
2019/12/11, 40, , , , 
2019/12/12, 53, , , , 
2019/12/13, 56, , , , 
2019/12/14, 71, , , , 
2019/12/15, 37, , , , 
2019/12/16, 51, , , , 
2019/12/17, 37, , , , 
2019/12/18, 39, , , , 
2019/12/19, 40, , , , 
2019/12/20, 54, , , , 
2019/12/21, 79, , , , 
2019/12/22, 65, , , , 
2019/12/23, 76, , , , 
2019/12/24, 65, , , , 
2019/12/25, 56, , , , 
2019/12/26, 60, , , , 
2019/12/27, 39, , , , 
2019/12/28, 58, , , , 
2019/12/29, 56, , , , 
2019/7/1, 37, 25, 42, , 
2019/7/2, 31, 13, 46, 5, 
2019/7/3, 33, 22, 40, 4, 
2019/7/4, 57, 20, 38, , 
2019/7/5, 39, 12, 34, , 
2019/7/6, 38, , 29, , 
2019/7/7, 50, 10, 36, 6, 
2019/7/8, 27, 21, 52, 10, 
2019/7/9, 45, 28, 47, 1, 
2019/7/10, 37, 22, 37, , 
2019/7/11, 33, 12, 35, , 
2019/7/12, 28, 28, 44, , 
2019/7/13, 44, 12, 34, 1, 
2019/7/14, 37, , 51, 6, 
2019/7/15, 40, 27, 22, , 
2019/7/16, 36, 14, 30, 3, 
2019/7/17, 25, 24, 33, 2, 
2019/7/18, 36, 25, 25, , 
2019/7/19, 33, 22, 32, , 
2019/7/20, 24, 9, 32, , 
2019/7/21, 23, 10, 25, , 
2019/7/22, 25, 15, 25, , 
2019/7/23, 33, 13, 29, , 
2019/7/24, 25, 21, 38, , 
2019/7/25, 36, 26, 47, 5, 
2019/7/26, 44, 41, 45, , 
2019/7/27, 50, 29, 43, , 
2019/7/28, 46, 35, 33, , 
2019/7/29, 45, 12, 33, , 
2019/7/30, 31, 7, 32, 2, 
2019/7/31, 20, 11, 39, 2, 
2019/8/1, 24, 16, 41, 4, 
2019/8/2, 27, 23, 36, 1, 
2019/8/3, 35, 17, 33, , 
2019/8/4, 38, 19, 42, , 
2019/8/5, 46, , 36, , 
2019/8/6, 37, 15, 32, , 
2019/8/7, 31, 14, 30, , 
2019/8/8, 29, 13, 18, , 
2019/8/9, 29, , , , 
2019/8/13, 35, 11, 13, , 
2019/8/14, 32, 12, 30, 2, 
2019/8/15, 23, 15, 35, , 
2019/8/16, 32, 15, 34, , 
2019/8/17, 29, 15, 31, , 
2019/8/18, 29, 14, 32, , 
2019/8/19, 26, 15, 39, 7, 
2019/8/20, 34, , 39, , 
2019/8/21, 27, , 26, , 
2019/8/22, 25, , 22, , 
2019/8/23, 20, , 26, , 
2019/8/24, 22, , 27, , 
2019/8/25, 22, , 25, , 
2019/8/26, 27, , 29, , 
2019/8/27, 18, , 28, , 
2019/8/28, 29, , 30, , 
2019/8/29, 22, , 28, , 
2019/8/30, 20, , 27, , 
2019/8/31, 27, , 20, , 
2019/9/1, 28, , 29, , 
2019/9/2, 33, , 26, , 
2019/9/3, 35, , 23, , 
2019/9/4, 24, , 32, , 
2019/9/5, 32, , 28, , 
2019/9/6, 35, , 25, , 
2019/9/7, 20, , 21, , 
2019/9/8, 25, , 21, , 
2019/9/9, 22, , 38, , 
2019/9/10, 40, , 34, , 
2019/9/11, 40, , 19, , 
2019/9/12, 21, , 29, , 
2019/9/13, 31, , 29, , 
2019/9/14, 22, , 26, , 
2019/9/15, 38, , 32, , 
2019/9/16, 39, , 34, , 
2019/9/17, 45, , 29, , 
2019/9/18, 32, , 39, , 
2019/9/19, 32, , 47, , 
2019/9/20, 53, , 34, , 
2019/9/21, 50, , 35, , 
2019/9/22, 44, , 28, , 
2019/9/23, 25, , 31, , 
2019/9/24, 21, , 33, , 
2019/9/25, 31, , 27, , 
2019/9/26, 29, , 31, , 
2019/9/27, 33, , 23, , 
2019/9/28, 26, , 13, , 
2019/9/29, 20, , 23, , 
2019/9/30, 33, , 26, , 
2019/4/1, 21, 26, 34, 1, 
2019/4/2, 28, 22, 37, , 
2019/4/3, 33, 15, 27, 3, 
2019/4/4, 33, 20, 35, , 
2019/4/5, 46, 25, 44, 1, 
2019/4/6, 59, 16, 41, 1, 
2019/4/7, 56, 17, 39, , 
2019/4/8, 25, 26, 37, , 
2019/4/9, 29, 9, 25, 3, 
2019/4/10, 19, 11, 27, 2, 
2019/4/11, 22, 29, 34, , 
2019/4/12, 25, 21, 40, , 
2019/4/13, 19, 3, 28, , 
2019/4/14, 11, 10, 37, , 
2019/4/15, 21, 20, 32, 5, 
2019/4/16, 31, 10, 32, 1, 
2019/4/17, 27, 25, 32, , 
2019/4/18, 25, 3, 28, , 
2019/4/19, 10, 4, 29, , 
2019/4/20, 12, 10, 34, 1, 
2019/4/21, 22, 18, 39, 1, 
2019/4/22, 31, 20, 33, 1, 
2019/4/23, 29, 15, 34, 1, 
2019/4/24, 32, 19, 31, , 
2019/4/25, 32, 13, 39, , 
2019/4/26, 40, 10, 38, , 
2019/4/27, 28, 6, 38, 2, 
2019/4/28, 24, 9, 25, , 
2019/4/29, 34, 13, 26, 3, 
2019/4/30, 44, 14, 30, , 
2019/5/1, 34, 17, 24, 1, 
2019/5/2, 33, 10, 22, , 
2019/5/3, 19, 8, 33, 1, 
2019/5/4, 24, 17, 41, 5, 
2019/5/5, 43, 22, 6, , 
2019/5/6, 69, 6, 24, 2, 
2019/5/7, 33, 11, 31, 2, 
2019/5/8, 18, 25, 32, , 
2019/5/9, 32, 11, 32, , 
2019/5/10, 25, 9, 32, 5, 
2019/5/11, 37, 6, 27, 3, 
2019/5/12, 28, 3, 17, , 
2019/5/13, 16, , 36, , 
2019/5/14, 26, 29, 45, , 
2019/5/15, 39, 44, 43, 1, 
2019/5/16, 34, 23, 28, , 
2019/5/17, 51, , , , 
2019/5/20, 23, 17, 25, 3, 
2019/5/21, 25, 18, 30, 3, 
2019/5/22, 28, 54, 39, , 
2019/5/23, 26, 18, 31, 2, 
2019/5/24, 24, 25, 38, , 
2019/5/25, 25, 15, 28, 8, 
2019/5/26, 35, 19, 1, , 
2019/5/27, 67, 22, 35, , 
2019/5/28, 37, 18, 24, 2, 
2019/5/29, 35, 25, 28, , 
2019/5/30, 30, 37, 38, , 
2019/5/31, 40, 27, 34, , 
2019/6/1, 41, 12, 32, , 
2019/6/2, 53, 9, 20, , 
2019/6/4, 34, 23, 44, , 
2019/6/5, 34, 20, 46, 1, 
2019/6/6, 46, 21, 44, , 
2019/6/7, 51, 17, 37, 3, 
2019/6/8, 36, 15, 34, , 
2019/6/9, 33, 10, 24, , 
2019/6/10, 22, 19, 41, , 
2019/6/11, 32, 20, 45, 4, 
2019/6/12, 34, 11, 35, , 
2019/6/13, 20, 28, 40, , 
2019/6/14, 21, 34, 33, , 
2019/6/15, 26, 11, 18, , 
2019/6/16, 38, 13, 23, 1, 
2019/6/17, 34, 23, 46, , 
2019/6/18, 51, 24, 48, , 
2019/6/19, 42, 11, 28, , 
2019/6/20, 36, 14, 27, , 
2019/6/21, 23, 12, 37, , 
2019/6/22, 30, 12, 41, , 
2019/6/23, 42, 24, 33, , 
2019/6/24, 27, 20, 43, , 
2019/6/25, 30, 25, 46, , 
2019/6/26, 37, 26, 52, 2, 
2019/6/27, 36, 19, 45, 2, 
2019/6/28, 41, , 45, , 
2019/6/29, 39, , 32, 1, 
2019/6/30, 37, , 46, , 
2019/1/1, 30, 6, 19, 1, 
2019/1/2, 23, 14, 17, , 
2019/1/3, 47, 24, 14, 1, 
2019/1/4, 60, 18, 15, 1, 
2019/1/7, 44, 10, 18, , 
2019/1/8, 36, 10, 19, , 
2019/1/9, 24, 19, 24, , 
2019/1/10, 23, 14, 20, 6, 
2019/1/11, 28, 9, 23, 1, 
2019/1/12, 35, 8, 20, 3, 
2019/1/13, 29, 21, 16, 1, 
2019/1/14, 36, 20, 18, , 
2019/1/15, 32, 13, 19, , 
2019/1/16, 22, 9, 21, , 
2019/1/17, 35, 12, 15, , 
2019/1/18, 36, 4, 23, 3, 
2019/1/19, 16, 7, 27, , 
2019/1/20, 24, 11, 23, , 
2019/1/21, 28, 10, 23, 3, 
2019/1/22, 37, 8, 19, , 
2019/1/23, 19, 14, 22, , 
2019/1/24, 30, 25, 23, , 
2019/1/25, 27, 12, 24, , 
2019/1/26, 27, 8, 27, , 
2019/1/27, 32, 10, 22, 1, 
2019/1/28, 37, 14, 25, , 
2019/1/29, 27, 19, 25, , 
2019/1/30, 27, 17, 23, , 
2019/1/31, 30, 16, 23, 4, 
2019/2/1, 37, 21, 25, 2, 
2019/2/2, 58, 16, 28, 1, 
2019/2/3, 43, 13, 18, 1, 
2019/2/4, 46, 7, 18, , 
2019/2/5, 28, 6, 17, , 
2019/2/6, 31, 5, 12, , 
2019/2/7, 29, 24, 24, , 
2019/2/8, 28, 12, 26, 1, 
2019/2/9, 26, 11, 24, , 
2019/2/10, 35, 9, 24, 3, 
2019/2/11, 35, 7, 23, , 
2019/2/12, 19, 14, 27, , 
2019/2/13, 32, 14, 20, 1, 
2019/2/14, 27, 14, 25, , 
2019/2/15, 32, 8, 26, 1, 
2019/2/16, 22, 7, 30, 2, 
2019/2/17, 31, 11, 25, , 
2019/2/18, 32, 25, 24, 1, 
2019/2/19, 43, 9, 28, , 
2019/2/20, 31, 15, 29, , 
2019/2/21, 41, 19, 33, 3, 
2019/2/22, 52, 10, 29, 1, 
2019/2/23, 40, , , , 
2019/2/25, 35, 13, 24, 3, 
2019/2/26, 33, 9, 24, , 
2019/2/27, 29, 12, 29, 6, 
2019/2/28, 38, 10, 28, 6, 
2019/3/1, 53, 11, 35, 3, 
2019/3/2, 42, 7, 30, , 
2019/3/3, 34, 15, 29, , 
2019/3/4, 26, 26, 31, , 
2019/3/5, 35, 15, 31, , 
2019/3/6, 31, 23, 34, , 
2019/3/7, 34, 29, 35, 3, 
2019/3/8, 49, 17, 40, 1, 
2019/3/9, 44, 13, 36, , 
2019/3/10, 32, 14, 38, , 
2019/3/11, 30, 21, 39, , 
2019/3/12, 35, 22, 25, 1, 
2019/3/13, 35, 21, 30, 1, 
2019/3/14, 36, 13, 30, , 
2019/3/15, 19, 8, 33, , 
2019/3/16, 20, 9, 31, 4, 
2019/3/17, 25, 21, 30, , 
2019/3/18, 31, 30, 36, 1, 
2019/3/19, 40, 27, 32, 1, 
2019/3/20, 39, 14, 30, , 
2019/3/21, 35, 17, 32, , 
2019/3/22, 21, 12, 34, , 
2019/3/23, 25, 31, 33, 2, 
2019/3/24, 47, 13, 34, 4, 
2019/3/25, 18, 18, 34, 6, 
2019/3/26, 25, 25, 36, 1, 
2019/3/27, 31, 37, 47, 1, 
2019/3/28, 52, 7, 29, 5, 
2019/3/29, 19, 4, 27, , 
2019/3/30, 19, 7, 32, , 
2019/3/31, 17, 19, 33, , 
2018/10/1, 33, 13, 14, , 
2018/10/2, 29, 17, 27, 5, 
2018/10/3, 28, 13, 22, 1, 
2018/10/4, 25, 9, 17, 1, 
2018/10/5, 21, 13, 17, , 
2018/10/6, 30, 5, 11, 5, 
2018/10/7, 19, 20, 28, 3, 
2018/10/8, 45, 22, 30, 2, 
2018/10/9, 36, 13, 21, 1, 
2018/10/10, 18, 7, 18, , 
2018/10/11, 8, 5, 23, , 
2018/10/12, 11, 10, 26, , 
2018/10/13, 21, 15, 26, 1, 
2018/10/14, 30, 10, 21, , 
2018/10/15, 23, 27, 27, , 
2018/10/16, 15, 14, 21, , 
2018/10/17, 21, 17, 26, , 
2018/10/18, 20, 34, 24, 1, 
2018/10/19, 21, 10, 24, , 
2018/10/20, 24, 5, 22, , 
2018/10/21, 15, 20, 21, 1, 
2018/10/22, 28, 17, 21, , 
2018/10/23, 27, 11, 21, , 
2018/10/24, 20, 21, 20, 2, 
2018/10/25, 30, 9, 18, 6, 
2018/10/26, 30, 6, 13, 3, 
2018/10/27, 24, 5, 16, , 
2018/10/28, 20, 8, 19, , 
2018/10/29, 22, 18, 15, 1, 
2018/10/30, 32, 15, 19, 1, 
2018/10/31, 33, 8, 10, 1, 
2018/11/1, 21, 6, 15, 1, 
2018/11/2, 25, 9, 16, , 
2018/11/3, 33, 9, 20, , 
2018/11/4, 38, 18, 20, , 
2018/11/5, 27, 9, 15, , 
2018/11/6, 21, 10, 9, , 
2018/11/7, 20, 9, 13, , 
2018/11/8, 23, 5, 16, 1, 
2018/11/9, 21, 11, 19, , 
2018/11/10, 25, 15, 17, , 
2018/11/11, 27, 33, 4, , 
2018/11/12, 57, 7, 20, , 
2018/11/13, 24, 11, 22, 1, 
2018/11/14, 28, 5, 19, , 
2018/11/15, 24, 13, 15, , 
2018/11/16, 40, 9, 17, 1, 
2018/11/17, 31, 7, 15, 3, 
2018/11/18, 35, 15, 11, , 
2018/11/19, 34, 14, 20, , 
2018/11/20, 25, 17, 19, , 
2018/11/21, 33, 7, 23, 2, 
2018/11/22, 17, 15, 20, 1, 
2018/11/23, 38, 12, 19, , 
2018/11/24, 29, 8, 16, 1, 
2018/11/25, 25, 4, 14, 3, 
2018/11/26, 16, 11, 20, , 
2018/11/27, 16, 10, 19, , 
2018/11/28, 25, 12, 14, , 
2018/11/29, 38, 23, 7, 1, 
2018/11/30, 55, 9, 16, , 
2018/12/1, 34, 10, 21, 1, 
2018/12/2, 25, 6, 13, , 
2018/12/3, 20, 11, 22, , 
2018/12/4, 18, 15, 15, , 
2018/12/5, 25, 21, 17, , 
2018/12/6, 29, 14, 17, , 
2018/12/7, 28, 13, 21, , 
2018/12/8, 32, 13, 15, 1, 
2018/12/9, 45, 15, 12, , 
2018/12/10, 42, 26, 15, , 
2018/12/11, 47, 18, 12, 1, 
2018/12/12, 56, 17, 13, 1, 
2018/12/13, 54, 19, 5, 1, 
2018/12/14, 52, 9, 8, 5, 
2018/12/15, 29, 11, 12, 4, 
2018/12/16, 37, 15, 17, , 
2018/12/17, 28, 13, 16, 1, 
2018/12/18, 29, 20, 10, 1, 
2018/12/19, 46, 16, 5, , 
2018/12/20, 45, 7, 10, , 
2018/12/21, 26, 7, 17, , 
2018/12/22, 23, 11, 14, , 
2018/12/23, 30, 10, 16, , 
2018/12/24, 24, 10, 14, 1, 
2018/12/25, 31, 18, 14, 1, 
2018/12/26, 46, 11, 18, 1, 
2018/12/27, 36, 10, 19, , 
2018/12/28, 20, 7, 20, , 
2018/12/29, 19, 12, 18, , 
2018/12/30, 25, , , , 
2018/7/1, 52, 18, 39, , 
2018/7/2, 34, 17, 47, 1, 
2018/7/3, 43, 21, 43, 2, 
2018/7/4, 62, 25, 39, , 
2018/7/5, 55, 8, 35, , 
2018/7/6, 14, 8, 38, 1, 
2018/7/7, 21, 15, 54, 6, 
2018/7/8, 42, 20, 51, , 
2018/7/9, 38, 18, 45, 3, 
2018/7/10, 40, 19, 36, 4, 
2018/7/11, 38, 21, 42, 12, 
2018/7/12, 40, 26, 62, 8, 
2018/7/13, 43, 25, 46, , 
2018/7/14, 50, 19, 49, 1, 
2018/7/15, 48, 21, 39, , 
2018/7/16, 42, 11, 27, 2, 
2018/7/17, 17, 14, 39, 5, 
2018/7/18, 26, 19, 43, , 
2018/7/19, 37, 17, 37, 1, 
2018/7/20, 31, 10, 31, , 
2018/7/21, 31, 7, 40, , 
2018/7/22, 31, 27, 42, 7, 
2018/7/23, 50, 19, 33, , 
2018/7/24, 44, 18, 38, , 
2018/7/25, 45, 20, 33, , 
